STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","028000","3006","421010280003006",Block 3006,G5040,R,,,S,7567,0,"+40.0298070","-075.1541111"
"42","101","028000","3010","421010280003010",Block 3010,G5040,R,,,S,9630,0,"+40.0276764","-075.1534190"
"42","101","028100","1016","421010281001016",Block 1016,G5040,R,,,S,5593,0,"+40.0308340","-075.1510516"
"42","101","028000","3001","421010280003001",Block 3001,G5040,R,,,S,7206,0,"+40.0306616","-075.1535155"
"42","101","034801","2011","421010348012011",Block 2011,G5040,R,,,S,8241,106,"+40.0564840","-075.0205737"
"42","101","019100","1017","421010191001017",Block 1017,G5040,R,,,S,8997,0,"+40.0137647","-075.1065606"
"42","101","019100","3006","421010191003006",Block 3006,G5040,R,,,S,9007,0,"+40.0122223","-075.1068784"
"42","101","019100","1014","421010191001014",Block 1014,G5040,R,,,S,9212,0,"+40.0135015","-075.1046261"
"42","101","036000","1002","421010360001002",Block 1002,G5040,R,,,S,12278,0,"+40.0999687","-075.0122655"
"42","101","017702","2005","421010177022005",Block 2005,G5040,R,,,S,7088,0,"+39.9935831","-075.1213621"
"42","101","017701","1009","421010177011009",Block 1009,G5040,R,,,S,14107,0,"+39.9935898","-075.1194489"
"42","101","019200","3011","421010192003011",Block 3011,G5040,R,,,S,7944,0,"+39.9989357","-075.1179829"
"42","101","017701","3002","421010177013002",Block 3002,G5040,R,,,S,5186,0,"+39.9982051","-075.1179806"
"42","101","017701","3001","421010177013001",Block 3001,G5040,R,,,S,5501,0,"+39.9981288","-075.1174371"
"42","101","019200","2006","421010192002006",Block 2006,G5040,R,,,S,9515,0,"+39.9984240","-075.1139666"
"42","101","033500","2025","421010335002025",Block 2025,G5040,R,,,S,112349,0,"+40.0498896","-075.0612039"
